13,270,230,9150,41,0.3,55,0,0,1,0,0
8.5,54,225,8300,41,0.4,3,0,0,1,0,0
8.5,5000,190,5500,39,0.46,45,0,0,1,0,0
8.6,5000,184,5500,39,0.47,92,0,0,1,0,0
8,300,188,6000,38,0.83,52,0,0,1,0,0
9.1,50,195,6400,43,0.39,67,0,0,1,0,0
8,50,195,6330,44,0.4,67,0,0,1,0,0
30,500,63,1000,13.5,1000,70,0,0,0,0,1
30,5000,63,1000,16.5,5000,80,0,0,0,0,1
29,1000,70,1500,13,1000,60,40,0,0,0,0,1
29,4000,70,1500,13,4000,60,40,0,0,0,0,1
16.8,50,122,2900,39,3,53,0,0,0,0,1
14,20,102,4800,34,2.63,50,0,0,0,0,1
14,60,102,4800,34,2.63,50,0,0,0,0,1
28.6,6600,131,2650,9.3,376,88,1,0,0,0,0
25,5000,136,3050,9.2,351,83,1,0,0,0,0
13,270,230,9150,41,0.3,55,0,0,1,0,0
30,3500,130,3000,9.0,2325,85,1,0,0,0,0
30.7,5000,127,2200,9.0,2200,80,1,0,0,0,0
30.6,5800,135,2850,10,370,82,1,0,0,0,0
30,4500,140,3150,9.8,560,80,1,0,0,0,0
28,1500,159,3820,11,270,80,1,0,0,0,0
17,25,105,1750,39,0.6,32,0,1,0,0,0
18,30,112,2200,39,0.6,32,0,1,0,0,0
18,75,105,1900,37,0.6,39,0,1,0,0,0
17,30,99,1150,35,0.6,32,0,1,0,0,0
17,30,99,1600,35,0.6,32,0,1,0,0,0
10,3,107,5000,32,2,45,0,1,0,0,0
16,70,115,6200,30,3,59,0,1,0,0,0
17,15,230,9500,38,2,52,0,0,0,1,0
17,10,215,9500,33,2,50,0,0,0,1,0
17,10,220,9200,33,2,50,0,0,0,1,0
18,10,215,9000,33,2,55,0,0,0,1,0
17,10,215,9000,33,2,55 ,0,0,0,1,0
20,10,215,8450,31,2,55,0,0,0,1,0
18,30,112,2200,39,0.6,32,0,1,0,0,0
20,10,215,8450,32,2,55,0,0,0,0,0
14,20,102,4800,34,2.63,50,0,0,0,0,1
