30,500,104,1100,11,5500,75,1,0,0,0,0
5,100,102,5600,42,0.8,52,0,1,0,0,0
20,10,215,8450,31,2,55,0,0,0,1,0
17,30,99,1150,35,0.6,32,0,1,0,0,0
6,1000,180,6000,48,0.25,50,0,0,1,0,0
38.1,2500,108,1500,12,1000,85,1,0,0,0,0
15.2,63,152,7300,38,2,52,0,1,0,0,0
28.6,6600,131,2650,9.3,376,88,1,0,0,0,0
8.6,320,188,4330,40,0.69,88,0,0,1,0,0
5,100,100,5500,43,0.8,51,0,1,0,0,0
25,5000,136,3050,9.2,351,83,1,0,0,0,0
8,50,195,6330,44,0.4,67,0,0,1,0,0
21,50,177,8060,39,2,51,0,1,0,0,0
17,10,220,9200,33,2,50,0,0,0,1,0
30,4500,140,3150,9.8,560,80,1,0,0,0,0
11.7,4,113,6500,40,1,30,0,1,0,0,0
17,10,200,8800,33,1.44,85,0,0,0,1,0
31,5000,132,3600,9,1952,85,1,0,0,0,0
11.5,22,101,4550,38,1,36,0,1,0,0,0
13,270,230,9150,41,0.3,55,0,0,1,0,0
35,792,154,3515,14.5,260,80,1,0,0,0,0
8.5,5000,190,5500,39,0.46,45,0,0,1,0,0
23,8000,139,3350,10,727,82,1,0,0,0,0
17,25,105,1750,39,0.6,32,0,1,0,0,0
17,10,215,9000,33,2,55,0,0,0,1,0
18,75,105,1900,37,0.6,39,0,1,0,0,0
38.1,3000,104,1250,12,3000,85,1,0,0,0,0
8.6,5000,184,5500,39,0.47,92,0,0,1,0,0
25,300,100,2400,11,5500,75,1,0,0,0,0
12,4,104,4700,32,2,36,0,1,0,0,0
8,900,204,9,54,43.2,0.33,80,0,0,1,0,0
17,15,230,9500,38,2,52,0,0,0,1,0
29,265,110,2100,17,200,75,1,0,0,0,0
11.8,3100,190,9332,43.4,0.32,84,0,0,1,0,0
30,500,63,1000,13.5,1000,70,0,0,0,0,1
18,10,215,9000,33,2,55,0,0,0,1,0
38.1,1300,102,1250,10,12000,85,1,0,0,0,0
13.5,6,105,4950,33,1,41,0,1,0,0,0
8.5,54,225,8300,41,0.4,3,0,0,1,0,0
20,10,215,8450,32,2,55,0,0,0,1,0
31,4000,128,2690,12,600,84,1,0,0,0,0
8,300,188,6000,38,0.83,52,0,0,1,0,0
17,10,215,9500,33,2,50,0,0,0,1,0
36,780,111,1700,12.1,2000,85,1,0,0,0,0
10.5,1060,199,9415,40.9,0.42,88,0,0,1,0,0
35,1250,119,2537,15,93,72,1,0,0,0,0
16,70,115,6200,30,3,59,0,1,0,0,0
9,540,198,9333,41.1,0.14,93,0,0,1,0,0
34,1500,135,3400,14,185,85,1,0,0,0,0
17,30,99,1600,35,0.6,32,0,1,0,0,0
9.8,1970,196,9421,41.3,0.42,91,0,0,1,0,0
30,5000,63,1000,16.5,5000,80,0,0,0,0,1
38.1,3000,104,872,12,5000,81,1,0,0,0,0
10.3,2400,200,9531,45.4,0.36,87,0,0,1,0,0
15,63,152,7260,38.5,2,52,0,1,0,0,0
29,1000,70,1500,13,1000,60,40,0,0,0,0,1
5,0.1,100,5500,43,0.8,51,0,1,0,0,0
30.6,5800,135,2850,10,370,82,1,0,0,0,0
11,10,160,6000,35,2,38,0,1,0,0,0
16.8,50,122,2900,39,3,53,0,0,0,0,1
12,50,177,8060,39,2,56,0,1,0,0,0
28,1500,159,3820,11,270,80,1,0,0,0,0
10,3,107,5000,32,2,45,0,1,0,0,0
30.7,5000,127,2200,9.0,2200,80,1,0,0,0,0
10.4,9,122,8000,40,0,35,0,1,0,0,0
14,20,102,4800,34,2.63,50,0,0,0,0,1
11.7,170,139,6700,43.5,0.4,35,0,1,0,0,0
33.5,575,117,2000,13,500,84.5,1,0,0,0,0
24,700,108,4500,37,1.2,29,0,1,0,0,0
12.7,2020,198,9469,43.6,0.37,82,0,0,1,0,0
26,75,248,10550,40,44,0,1,0,0,0
17,10,200,8800,33,1.44,75,0,0,0,1,0
30,5000,132,3600,9,1952,85,1,0,0,0,0
3,0.1,102,5600,42,0.8,52,0,1,0,0,0
17,10,200,8300,33,1.44,83,0,0,0,1,0
38,1300,100,1746,13.6,13000,85,1,0,0,0,0
3,100,102,5600,42,0.8,52,0,1,0,0,0
31,95,110,1400,17,175,58,1,0,0,0,0
29,4000,70,1500,13,4000,60,40,0,0,0,0,1
30,2500,130,3260,13.5,138,80,1,0,0,0,0
20,10,215,8450,31,2,55,0,0,0,1,0
23.4,65,242,10400,39,27.4,0,1,0,0,0
38.8,780,111,1597,12,1000,85,1,0,0,0,0
23,90,250,10750,40,44,0,1,0,0,0
7.3,180,188,4160,37,0.59,90,0,0,1,0,0
31,205,105,1200,19,32,57,1,0,0,0,0
9,109,177,8060,39,2,57,0,1,0,0,0
4.25,160,190,4040,38,0.547,73.5,0,0,1,0,0
18,30,112,2200,39,0.6,32,0,1,0,0,0
31,10000,125,2000,8.5,5500,80,1,0,0,0,0
5,0.1,102,5600,42,0.8,52,0,1,0,0,0
30,3500,130,3000,9.0,2325,85,1,0,0,0,0
14,60,102,4800,34,2.63,50,0,0,0,0,1
9.1,50,195,6400,43,0.39,67,0,0,1,0,0
